term,name,definition,category,provenance,provenanceUri,note
average,Average,"The values represent the average over a time interval, such as daily mean discharge or daily mean temperature.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
bestEasySystematicEstimator,"Best easy systematic estimator","Best Easy Systematic Estimator BES = (Q1 +2Q2 +Q3)/4. Q1, Q2, and Q3 are first, second, and third quartiles. See Woodcock, F. and Engel, C., 2005: Operational Consensus Forecasts.Weather and Forecasting, 20, 101-111. (http://www.bom.gov.au/nmoc/bulletins/60/article_by_Woodcock_in_Weather_and_Forecasting.pdf) and Wonnacott, T. H., and R. J. Wonnacott, 1972: Introductory Statistics. Wiley, 510 pp.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
categorical,Categorical,"The values are categorical rather than continuous valued quantities.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
constantOverInterval,"Constant over interval","The values are quantities that can be interpreted as constant for all time, or over the time interval to a subsequent measurement of the same variable at the same site.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
continuous,Continuous,"A quantity specified at a particular instant in time measured with sufficient frequency (small spacing) to be interpreted as a continuous record of the phenomenon.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
cumulative,Cumulative,"The values represent the cumulative value of a variable measured or calculated up to a given instant of time, such as cumulative volume of flow or cumulative precipitation.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
incremental,Incremental,"The values represent the incremental value of a variable over a time interval, such as the incremental volume of flow or incremental precipitation.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
maximum,Maximum,"The values are the maximum values occurring at some time during a time interval, such as annual maximum discharge or a daily maximum air temperature.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
median,Median,"The values represent the median over a time interval, such as daily median discharge or daily median temperature.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
minimum,Minimum,"The values are the minimum values occurring at some time during a time interval, such as 7-day low flow for a year or the daily minimum temperature.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
mode,Mode,"The values are the most frequent values occurring at some time during a time interval, such as annual most frequent wind direction.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
sporadic,Sporadic,"The phenomenon is sampled at a particular instant in time but with a frequency that is too coarse for interpreting the record as continuous. This would be the case when the spacing is significantly larger than the support and the time scale of fluctuation of the phenomenon, such as for example infrequent water quality samples.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
standardDeviation,"Standard deviation","The values represent the standard deviation of a set of observations made over a time interval. Standard deviation computed using the unbiased formula SQRT(SUM((Xi-mean)^2)/(n-1)) are preferred. The specific formula used to compute variance can be noted in the methods description.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
standardErrorOfMean,"Standard error of mean","The standard error of the mean (SEM) quantifies the precision of the mean. It is a measure of how far your sample mean is likely to be from the true population mean. It is expressed in the same units as the data.",,"See https://en.wikipedia.org/wiki/Standard_error",,
standardErrorOfTheMean,"Standard error of the mean","The standard error of the mean (SEM) quantifies the precision of the mean. It is a measure of how far your sample mean is likely to be from the true population mean. It is expressed in the same units as the data.",,"See https://en.wikipedia.org/wiki/Standard_error",,
unknown,Unknown,"The aggregation statistic is unknown.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
variance,Variance,"The values represent the variance of a set of observations made over a time interval. Variance computed using the unbiased formula SUM((Xi-mean)^2)/(n-1) are preferred. The specific formula used to compute variance can be noted in the methods description.",,"Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy",,
