term,name,definition,category,provenance,provenanceUri,note
actionAnnotation,"Action annotation","An annotation or qualifying comment about an Action",Annotation,,,
actionGroup,"Action group","A group of actions such as those that are part of a cruise, expedition, experiment, project, etc.",Group,,,
categoricalResultValueAnnotation,"Categorical result value annotation","An annotation or data qualifying comment applied to a data value from a categorical Result",Annotation,,,
dataSetAnnotation,"Dataset annotation","An annotation or qualifying comment about a DataSet",Annotation,,,
equipmentAnnotation,"Equipment annotation","An annotation or qualifying comment about a piece of Equipment",Annotation,,,
measurementResultValueAnnotation,"Measurement result value annotation","An annotation or data qualifying comment applied to a data value from a measurement Result",Annotation,,,
methodAnnotation,"Method annotation","An annotation or qualifiying comment about a Method",Annotation,,,
organizationAnnotation,"Organization annotation","An annotation or qualifiying comment about an Organization",Annotation,,,
personAnnotation,"Person annotation","An annotation or qualifying comment about a Person",Annotation,,,
personGroup,"Person group","A group of people such as a research team, project team, etc.",Group,,,
pointCoverageResultValueAnnotation,"Point coverage result value annotation","An annotation or data qualifying comment applied to a data value from a point coverage Result",Annotation,,,
profileResultValueAnnotation,"Profile result value annotation","An annotation or data qualifying comment applied to a data value from a profile Result",Annotation,,,
resultAnnotation,"Result annotation","An annotation or qualifying comment about a Result",Annotation,,,
samplingFeatureAnnotation,"Sampling feature annotation","An annotation or qualifiying comment about a SamplingFeature",Annotation,,,
sectionResultValueAnnotation,"Section result value annotation","An annotation or data qualifying comment applied to a data value from a section Result",Annotation,,,
siteAnnotation,"Site annotation","An annotation or qualifying comment about a Site",Annotation,,,
siteGroup,"Site group","A group of sites such as a transect, station, observatory, monitoring collection, etc.",Group,,,
specimenAnnotation,"Specimen annotation","An annotation or qualifying comment about a Specimen",Annotation,,,
specimenGroup,"Specimen group","A group of specimens such as an analysis batch, profile, experiment, etc.",Group,,,
spectraResultValueAnnotation,"Spectra result value annotation","An annotation or data qualifying comment applied to a data value from a spectra Result",Annotation,,,
timeSeriesResultValueAnnotation,"Time series result value annotation","An annotation or data qualifying comment applied to a data value from a time series Result",Annotation,,,
trajectoryResultValueAnnotation,"Trajectory result value annotation","An annotation or data qualifying comment applied to a data value from a trajectory Result",Annotation,,,
transectResultValueAnnotation,"Transect result value annotation","An annotation or data qualifying comment applied to a data value from a transect Result",Annotation,,,
valueGroup,"Value group","A group of data values such as those from a profile, analysis, spectra, publication table, dataset, incident reports, etc.",Group,,,
variableAnnotation,"Variable annotation","An annotation or qualifying comment about a Variable",Annotation,,,
