term,name,definition,category,provenance,provenanceUri,note
antenna,Antenna,"An electrical device that converts electric power into radio waves and vice versa.","Communications component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Antenna_(radio)",,
automaticLevel,"Automatic level","A survey level that makes use of a compensator that ensures the line of sight remains horizontal once the operator has roughly leveled the instrument.",Instrument,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Levelling",,
battery,Battery,"A device consisting of one or more electrochemical cells that convert stored chemical energy into electrical energy.","Power component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Battery_(electricity)",,
cable,Cable,"Two or more wires running side by side and bonded, twisted, or braided together to form a single assembly.","Peripheral component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Cable",,
camera,Camera,"A device used to create photographic images",,,,
chargeRegulator,"Charge regulator","An electroinic device that limits the rate at which electric current is added to or drawn from electric batteries.","Power component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Charge_controller",,
datalogger,Datalogger,"An electronic device that records data over time or in relation to location either with a built in instrument or sensor or via external instruments and sensors.",Datalogger,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Data_logger",,
electronicDevice,"Electronic device","A generic electronic device",,,,
enclosure,Enclosure,"A cabinet or box within which electrical or electronic equipment are mounted to protect them from the environment.",Platform,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Enclosure_(electrical)",,
fluorometer,Fluorometer,"A device used to measure paramters of flouroescence, including its intensity and wavelength distribution of emission spectrum after excitation by a certain spectrum of light.",Sensor,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Fluorometer",,
globalPositioningSystemReceiver,"Global positioning system receiver","A device that accurately calculates geographical location by receiving information from Global Positioning System satellites.",Sensor,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/GPS_navigation_device",,
interface,Interface,"A device used to couple multiple other devices.",,,,
laboratoryInstrument,"Laboratory instrument","Any type of equipment, apparatus or device designed, constructed and refined to use well proven physical principles, relationships or technology to facilitate or enable the pursuit, acquisition, transduction and storage of repeatable, verifiable data, usually consisting of sets numerical measurements made upon otherwise unknown, unproven quantities, properties, phenomena, materials, forces or etc.",Instrument,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Scientific_instrument",,
levelStaff,"Level staff","A graduate wooden, fiberglass, or aluminum rod used to determine differences in elevation.",Instrument,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Level_staff",,
mast,Mast,"A pole that supports sensors, instruments, or measurement peripherals.","Observation platform",,,
measurementTower,"Measurement tower","A free standing tower that supports measuring instruments or sensors.","Observation platform","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Measurement_tower",,
multiplexer,Multiplexer,"A device that selects one of several analog or digital input signals and forwards the selected input into a single line.",,,,
powerSupply,"Power supply","An electronic device that supplies electric energy to an electrical load. The primary function of a power supply is to convert one form of electrical energy to another (e.g., solar to chemical).","Power component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Power_supply",,
pressureTransducer,"Pressure transducer","A sensor that measures pressure, typically of gases or liquids.",Sensor,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Pressure_sensor",,
radio,Radio,"A device that transfers information via electromagnetic signals through the atmosphere or free space.","Communications component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Radio",,
sampler,Sampler,"A device used to collect specimens for later ex situ analysis.","Sampling device",,,
sensor,Sensor,"A device that detects events or changes in quantities and provides a corresponding output, generally as an electrical or optical signal.",Sensor,"Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Sensor",,
solarPanel,"Solar panel","A photovoltaic module that is electrically connected and mounted on a supporting structure.  Used to generate and supply electricity.","Power component","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Solar_panel",,
stormBox,"Storm box","An enclosure used to protect electronic equipment used for stormwater sampling.",Platform,,,
totalStation,"Total station","An electronic and optical instrument used in modern surveying and building construction.  A total station is an electronic theodoloite integrated with an electronic distance meter to read slope distances from the instrument to a particular point.",Instrument,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Total_station",,
tripod,Tripod,"A portable, three-legged frame used as a platform for supporting the weight and maintaining the stability of some other object. Typically used as a data collection platform to which sensors are attached.","Observation platform","Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Tripod",,
turbidimeter,Turbidimeter,"A water quality sensor that monitors light reflected off the particles suspended in water.",Sensor,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Nephelometer",,
waterQualitySonde,"Water quality sonde","A water quality monitoring instrument having multiple attached sensors.",Sensor,"Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Sonde_(electronics)",,
