term,name,definition,category,provenance,provenanceUri,note
air,Air,"Specimen collection of ambient air or sensor emplaced to measure properties of ambient air.",,,,
gas,Gas,"Gas phase specimen or sensor emplaced to measure properties of a gas.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
ice,Ice,"Sample collected as frozen water or sensor emplaced to measure properties of ice.",,,,
liquidAqueous,"Liquid aqueous","Specimen collected as liquid water or sensor emplaced to measure properties of water in sampled environment.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
liquidOrganic,"Liquid organic","Specimen collected as an organic liquid.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
mineral,Mineral,"Specimen collected as a mineral.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
notApplicable,"Not applicable","There is no applicable sampled medium.  ",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,"This term should be used in the case that there is no medium or medium does not apply in some context. "
organism,Organism,"Data collected about a species at organism level.",,,,
other,Other,Other.,,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
particulate,Particulate,"Specimen collected from particulates suspended in a paticulate-fluid mixture. Examples include particulates in water or air.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
rock,Rock,"Specimen collected from a naturally occuring solid aggregate of one or more minerals.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php. Definition adapted from Wikipedia. See: https://en.wikipedia.org/wiki/Rock_(geology)",,
sediment,Sediment,"Specimen collected from material broken down by processes of weathering and erosion and subsequently transported by the action of wind, water, or ice, and/or by the force of gravity acting on the particles. Sensors may also be emplaced to measure sediment properties.",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php. Definition adapted from Wikipedia. See: https://en.wikipedia.org/wiki/Sediment",,
snow,Snow,"Observation in, of or sample taken from snow.",,"Adapted from CUAHSI HIS SampleMediumCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleMediumCV.",,
soil,Soil,"Specimen collected from soil or sensor emplaced to measure properties of soil. Soil includes the mixture of minerals, organic matter, gasses, liquids, and organisms that make up the upper layer of earth in which plants grow. ",,"Adapted from SESAR Material CV. See http://app.geosamples.org/reference/materials.php",,
tissue,Tissue,"Sample of a living organism's tissue or sensor emplaced to measure property of tissue.",,,,
unknown,Unknown,"The sampled medium is unknown.",,"Adapted from CUAHSI HIS SampleMediumCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleMediumCV.",,
