term,name,definition,category,provenance,provenanceUri,note
cites,Cites,"Use to indicate a relation to the work that the resource is citing/quoting.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Citations."
compiles,Compiles,"One to many relationship that denotes that the one source resource has been assembled from the target resources through a process of integration and harmonization (as opposed to simple aggregation).",aggregate,http://schema.datacite.org/meta/kernel-3/doc/DataCite-MetadataKernel_v3.1.pdf,,"Used for related Datasets."
continues,Continues,"Use to indicate the resource is a continuation of the work referenced by the related identifier.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Datasets."
documents,Documents,"Use to indicate the relation to the work which is documentation.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Citations."
hasPart,"Has part","Use to indicate the resource is a container of another resource.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Datasets."
isAttachedTo,"Is attached to","Used to indicate that one entity is attached to another. For example this term can be used to express the fact that a piece of equipment is attached to a related piece of equipment.",,,,"Used for related Equipment."
isChildOf,"Is child of","Used to indicate that one entity is an immediate child of another entity. For example, this term can be used to express the fact that an instrument deployment Action is the child of a site visit Action.",,,,"Used for related Actions."
isCitationFor,"Is citation for","Used to indicate the relationship between a Citation and the entity for which it is the Citation.",,,,"Used for Dataset Citations."
isCitedBy,"Is cited by","Use to indicate the relation to a work that cites/quotes this data.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Citations."
isCompiledBy,"Is compiled by","Use to indicate the resource or data is compiled/created by using another resource or dataset.",,"Adapted from DataCite relationType. See: http://schema.datacite.org/meta/kernel-3/doc/DataCite-Metad",,"Used for related Datasets."
isContinuedBy,"Is continued by","Use to indicate the resource is continued by the work referenced by the related identifier.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isDerivedFrom,"Is derived from","Used to indicate the relation to the works from which the resource was derived.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Results and related Datasets."
isDocumentedBy,"Is documented by","Use to indicate the work is documentation about/explaining the resource referenced by the related identifier.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Citations."
isIdenticalTo,"Is identical to","Used to indicate the relation to a work that is identical to the resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isNewVersionOf,"Is new version of","Use to indicate the resource is a new edition of an old resource, where the new edition has been modified or updated.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isOriginalFormOf,"Is original form of","Use to indicate the relation to the works which are variant or different forms of the resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isPartOf,"Is part of","Use to indicate the resource is a portion of another resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isPreviousVersionOf,"Is previous version of","Use to indicate the resource is a previous edition of a newer resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
isReferencedBy,"Is referenced by","Use to indicate the resource is used as a source of information by another resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Citations."
isRelatedTo,"Is related to","Used to indicate that one entity has a complex relationship with another entity that is not a simple, hierarchical parent-child relationship. For example, this term can be used to express the fact that an instrument cleaning Action is related to an instrument deployment action even though it may be performed as part of a separate site visit.",,,,"Used for related Actions."
isRetrievalfor,"Is retrieval for","Use to indicate the action is a retrieval of a previous deployment.",Action,,,"This is necessary for proper implementation of deployments and retrievals in the ODM2 Equipment schema."
isReviewedBy,"Is reviewed by","Used to indicate that the work is reviewed by another resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Citations."
isSourceOf,"Is source of","Used to indicate the relation to the works that were the source of the resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Results, related Datasets, and related Citations."
isSupplementedBy,"Is supplemented by","Use to indicate the relation to the work(s) which are supplements of the resource.",,"Adapted from DataCite relationType. See: https://schema.datacite.org/meta/kernel-3/doc/DataCite-Meta",,"Used for related Datasets."
