term,name,definition,category,provenance,provenanceUri,note
categoryObservation,"Category observation","A single ResultValue for a single Variable, measured on or at a single SamplingFeature, using a single Method.",Measurement,"Adapted from OGC O&M",,
countObservation,"Count observation","A single ResultValue for a single Variable, counted on or at a single SamplingFeature, using a single Method, and having a specific ProcessingLevel.",Measurement,"Adapted from OGC O&M",,
measurement,Measurement,"A single ResultValue for a single Variable, measured on or at a SamplingFeature, using a single Method, with specific Units, and having a specific ProcessingLevel.",Measurement,"Adapted from OGC O&M",,
pointCoverage,"Point coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, with a fixed ValueDateTime, but measured over varying X,Y locations, where X and Y are horizontal coordinates.",Coverage,"Adapted from OGC O&M",,
profileCoverage,"Profile coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple locations along a depth profile with only one varying location dimension (e.g., Z, where Z is depth). ValueDateTime may be fixed or controlled.",Coverage,"Adapted from OGC O&M",,
sectionCoverage,"Section coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over varying X (horizontal) and Z (depth) coordinates. ValueDateTime may be fixed or controlled.",Coverage,,,
spectraCoverage,"Spectra coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple wavelengths of light. ValueDateTime may be fixed or controlled.",Coverage,,,
temporalObservation,"Temporal observation","A single ResultValue for a single Variable, measured on or at a SamplingFeature, using a single Method, with specific Units, and having a specific ProcessingLevel.",Measurement,"Adapted from OGC O&M",,
timeSeriesCoverage,"Time series coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature of fixed location, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over time.",Coverage,"Adapted from WaterML 2.0",,
trajectoryCoverage,"Trajectory coverage","A series of ResultValues for a single Variable, measured on a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over varying X,Y, Z, and D locations, where X and Y are horizontal coordinates, Z is a vertical coordinate, and D is the distance along the trajectory. ValueDateTime may be fixed (DTS Temperature) or controlled (glider).",Coverage,,,
transectCoverage,"Transect coverage","A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple locations along a transect having varying location dimensions (e.g.,  X and/or Y, where X and Y are horizontal coordintes). ValueDateTime may be fixed or controlled.",Coverage,,,
truthObservation,"Truth observation","A single ResultValue for a single Variable, measured on or at a single SamplingFeature, using a single Method.",Measurement,"Adapted from OGC O&M",,
