term,name,definition,category,provenance,provenanceUri,note
Ag,Ag,"Expressed as silver",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
Al,Al,"Expressed as aluminium",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
As,As,"Expressed as arsenic",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
B,B,"Expressed as boron",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
Ba,Ba,"Expressed as barium",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
Be,Be,"Expressed as beryllium",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
Br,Br,"Expressed as bromine",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C,C,"Expressed as carbon",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H10O4,C10H10O4,"Expressed as dimethyl terephthalate",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H4_CH3_4,C10H4(CH3)4,"Expressed as tetramethylnaphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H5_CH3_3,C10H5(CH3)3,"Expressed as trimethylnaphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H6_CH3_2,C10H6(CH3)2,"Expressed as dimethylnaphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H7C2H5,C10H7C2H5,"Expressed as ethylnaphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H7CH3,C10H7CH3,"Expressed as methylnaphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C10H8,C10H8,"Expressed as naphthalene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C12H10,C12H10,"Expressed as C12H10, e.g., acenaphthene, biphenyl",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C12H14O4,C12H14O4,"Expressed as diethyl phthalate",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
C12H8,C12H8,"Expressed as acenaphthylene",,"Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.",,
