Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
gray,Absorbed dose,Gy,Gray,http://qudt.org/vocab/unit#Gray; http://unitsofmeasure.org/ucum.html#para-30
rad,Absorbed dose,rad,RAD,http://qudt.org/vocab/unit#Rad; http://unitsofmeasure.org/ucum.html#para-33
grayPerSecond,Absorbed dose rate,Gy/s,Gray per Second,http://qudt.org/vocab/unit#GrayPerSecond
ban,Amount of information,ban,Ban,http://qudt.org/vocab/unit#Ban
bit,Amount of information,bit,Bit,http://qudt.org/vocab/unit#Bit; http://unitsofmeasure.org/ucum.html#para-48
byte,Amount of information,By,Byte,http://qudt.org/vocab/unit#Byte; http://unitsofmeasure.org/ucum.html#para-48
nat,Amount of information,nat,Nat,http://qudt.org/vocab/unit#Nat
octet,Amount of information,octet,Octet,http://www.unidata.ucar.edu/software/udunits/
arcMinute,Angle,arcMin,Arc Minute,http://qudt.org/vocab/unit#ArcMinute; http://qudt.org/vocab/unit#MinuteAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
arcSecond,Angle,arcSec,Arc Second,http://qudt.org/vocab/unit#ArcSecond; http://qudt.org/vocab/unit#SecondAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
circle,Angle,circ,Circle,http://unitsofmeasure.org/ucum.html#para-47; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
cycle,Angle,cycle,Cycle,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degree,Angle,deg,Degree,http://qudt.org/vocab/unit#DegreeAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeEast,Angle,degE,Degree East,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeMinuteSecond,Angle,dddmmss,Degree Minute Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
degreeNorth,Angle,degN,Degree North,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeSouth,Angle,degS,Degree South,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeTrue,Angle,degT,Degree True,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeWest,Angle,degW,Degree West,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
gon,Angle,gon,Gon,http://qudt.org/vocab/unit#Gon; http://unitsofmeasure.org/ucum.html#para-31
grad,Angle,grad,Grad,http://qudt.org/vocab/unit#Grad
milAngle(Nato),Angle,mil,Mil Angle (Nato),http://qudt.org/vocab/unit#MilAngle
radian,Angle,rad,Radian,http://qudt.org/vocab/unit#Radian; http://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/
revolution,Angle,rev,Revolution,http://qudt.org/vocab/unit#Revolution; http://www.unidata.ucar.edu/software/udunits/
rotation,Angle,,Rotation,http://www.unidata.ucar.edu/software/udunits/
turn,Angle,,Turn,http://www.unidata.ucar.edu/software/udunits/
degreePerSecondSquared,Angular acceleration,deg/(s^2),Degree per Second Squared,http://qudt.org/vocab/unit#DegreePerSecondSquared
radianPerSecondSquared,Angular acceleration,rad/s^2,Radian per Second Squared,http://qudt.org/vocab/unit#RadianPerSecondSquared
revolutionPerSecondSquared,Angular acceleration,,Revolution per Second Squared,http://qudt.org/vocab/unit#RevolutionPerSecondSquared
kilogramMeterSquared,Angular mass,kg-m^2,Kilogram Meter Squared,http://qudt.org/vocab/unit#KilogramMeterSquared
electronvoltSecond,Angular momentum,eV s,ElectronVolt Second,http://qudt.org/vocab/unit#ElectronVoltSecond
ergSecond,Angular momentum,erg s,Erg Second,http://qudt.org/vocab/unit#ErgSecond
footPoundForceSecond,Angular momentum,lbf*s,Foot Pound Force Second,http://qudt.org/vocab/unit#FootPoundForceSecond
jouleSecond,Angular momentum,J s,Joule Second,http://qudt.org/vocab/unit#JouleSecond
newtonMeterSecond,Angular momentum,Nms,Newton Meter Second,
degreePerHour,Angular velocity or frequency,deg/h,Degree per Hour,http://qudt.org/vocab/unit#DegreePerHour
degreePerMinute,Angular velocity or frequency,deg/min,Degree per Minute,http://qudt.org/vocab/unit#DegreePerMinute
degreePerSecond,Angular velocity or frequency,deg/s,Degree per Second,http://qudt.org/vocab/unit#DegreePerSecond
radianPerHour,Angular velocity or frequency,rad/h,Radian per Hour,http://qudt.org/vocab/unit#RadianPerHour
radianPerMinute,Angular velocity or frequency,rad/m,Radian per Minute,http://qudt.org/vocab/unit#RadianPerMinute
radianPerSecond,Angular velocity or frequency,rad/s,Radian per Second,http://qudt.org/vocab/unit#RadianPerSecond
