term,name,definition,category,provenance,provenanceUri,note
19_Hexanoyloxyfucoxanthin,19-Hexanoyloxyfucoxanthin,"The phytoplankton pigment 19-Hexanoyloxyfucoxanthin",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_1_1_Trichloroethane,"1,1,1-Trichloroethane","1,1,1-Trichloroethane (C2H3Cl3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_1_2_2_Tetrachloroethane,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_1_2_Trichloroethane,"1,1,2-Trichloroethane","1,1,2-Trichloroethane (C2H3Cl3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_1_Dichloroethane,"1,1-Dichloroethane","1,1-Dichloroethane (C2H4Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_1_Dichloroethene,"1,1-Dichloroethene","1,1-Dichloroethene (C2H2Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_3_Trimethylbenzene,"1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene (C9H12)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_4_5_Tetrachlorobenzene,"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene (C6H2Cl4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_4_Trichlorobenzene,"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene (C6H3Cl3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_4_Trimethylbenzene,"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dibromo_3_Chloropropane,"1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane (C3H5Br2Cl)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dichlorobenzene,"1,2-Dichlorobenzene","1,2-Dichlorobenzene (C6H4Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dichloroethane,"1,2-Dichloroethane","1,2-Dichloroethane (C2H4Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dichloropropane,"1,2-Dichloropropane","1,2-Dichloropropane (C3H6Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dimethylnaphthalene,"1,2-Dimethylnaphthalene","1,2-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Dinitrobenzene,"1,2-Dinitrobenzene","1,2-Dinitrobenzene (C6H4N2O4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_2_Diphenylhydrazine,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine (C12H12N2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_3_5_Trimethylbenzene,"1,3,5-Trimethylbenzene","1,3,5-Trimethylbenzene (C6H3(CH3)3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_3_Dichlorobenzene,"1,3-Dichlorobenzene","1,3-Dichlorobenzene (C6H4Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_3_Dimethyladamantane,"1,3-Dimethyladamantane","1,3-Dimethyladamantane (C12H20).",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_3_Dimethylnaphthalene,"1,3-Dimethylnaphthalene","1,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_3_Dinitrobenzene,"1,3-Dinitrobenzene","1,3-Dinitrobenzene (C6H4N2O4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_5_8_Tetramethylnaphthalene,"1,4,5,8-Tetramethylnaphthalene","1,4,5,8-Tetramethylnaphthalene (C14H16), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_5_Trimethylnaphthalene,"1,4,5-Trimethylnaphthalene","1,4,5-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_6_Trimethylnaphthalene,"1,4,6-Trimethylnaphthalene","1,4,6-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_Dichlorobenzene,"1,4-Dichlorobenzene","1,4-Dichlorobenzene (C6H4Cl2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_Dimethylnaphthalene,"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_4_Dinitrobenzene,"1,4-Dinitrobenzene","1,4-Dinitrobenzene (C6H4N2O4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_5_Dimethylnaphthalene,"1,5-Dimethylnaphthalene","1,5-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_6_7_Trimethylnaphthalene,"1,6,7-Trimethylnaphthalene","1,6,7-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_6_Dimethylnaphthalene,"1,6-Dimethylnaphthalene","1,6-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_8_Dimethylnaphthalene,"1,8-Dimethylnaphthalene","1,8-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_Chloronaphthalene,1-Chloronaphthalene,"1-Chloronaphthalene (C10H7Cl)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_Ethylnaphthalene,1-Ethylnaphthalene,"1-Ethylnaphthalene (C10H7C2H5), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_Methylanthracene,1-Methylanthracene,"1-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_Methyldibenzothiophene,1-Methyldibenzothiophene,"1-Methyldibenzothiophene (C13H10S)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
