term,name,definition,category,provenance,provenanceUri,note
age,Age,"Variables associated with age",,"Originally from PetDB. Syntax modified to remove underscores.",,
Biota,Biota,"Variables associated with biological organisms",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
Chemistry,Chemistry,"Variables associated with chemistry, chemical analysis or processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
Climate,Climate,"Variables associated with the climate, weather, or atmospheric processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
endMember,End-Member,"Variables associated with end members",,"Originally from PetDB. Syntax modified to remove underscores.",,
Geology,Geology,"Variables associated with geology or geological processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
Hydrology,Hydrology,"Variables associated with hydrologic variables or processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
Instrumentation,Instrumentation,"Variables associated with instrumentation and instrument properties such as battery voltages, data logger temperatures, often useful for diagnosis.",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
majorOxideElement,"Major oxide or element","Variables associated with major oxides or elements",,"Originally from PetDB. Syntax modified to remove underscores.",,
modelData,"Model data","Variables associated with modeled data",,"Originally from PetDB. Syntax modified to remove underscores.",,
nobleGas,"Noble gas","Variables associated with noble gasses",,"Originally from PetDB. Syntax modified to remove underscores.",,
radiogenicIsotopes,"Radiogenic isotopes","Variables associated with radiogenic isotopes",,"Originally from PetDB. Syntax modified to remove underscores.",,
rareEarthElement,"Rare earth element","Variables associated with rare earth elements",,"Originally from PetDB. Syntax modified to remove underscores.",,
ratio,Ratio,"Variables associated with a ratio",,"Originally from PetDB. Syntax modified to remove underscores.",,
rockMode,"Rock mode","Variables associated with a rock mode",,"Originally from PetDB. Syntax modified to remove underscores.",,
Soil,Soil,"Variables associated with soil variables or processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
speciationRatio,"Speciation ratio","Variables associated with a speciation ratio",,"Originally from PetDB. Syntax modified to remove underscores.",,
stableIsotopes,"Stable isotopes","Variables associated with stable isotopes",,"Originally from PetDB. Syntax modified to remove underscores.",,
traceElement,"Trace element","Variables associated with trace elements",,"Originally from PetDB. Syntax modified to remove underscores.",,
Unknown,Unknown,"The VariableType is unknown.",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
uraniumSeries,"Uranium series","Variables associated with uranium series",,"Originally from PetDB. Syntax modified to remove underscores.",,
volatile,Volatile,"Variables associated with volatile chemicals",,"Originally from PetDB. Syntax modified to remove underscores.",,
WaterQuality,"Water quality","Variables associated with water quality variables or processes",,"Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.",,
